Tamaño,QuickSort (s),Hashing Simple (s)
10000,0.028807700000470504,0.0012308000004850328
30000,0.08503319999726955,0.006764299992937595
100000,0.28492069999629166,0.018328999998630024
300000,0.9977344000071753,0.06103820000134874
